master_file_number,investigating_agency,local_code,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,intersection_roadway_suffix,between_street_number_1,between_street_name_1,between_street_suffix_1,between_street_number_2,between_street_name_2,between_street_suffix_2,units_involved,motor_vehicles_involved,killed,injured,weather,roadway_condition,hit_and_run,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
1344607,LOUISVILLE METRO POLICE DEPT,8010012297,US0031,,BARDSTOWN,RD,,,,DEERPARK,,,,,,,,2,1,0,0,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & GRADE,DAYLIGHT,False,2010-02-20 16:20:00-05:00,38.23185,-85.707933333,False,False,SATURDAY
70803559,LOUISVILLE METRO POLICE DEPT,8010002922,,,ZORN,AVE,,1.476,I 0071,I71 N EXIT2 OFF RAMP TO ZORN AVE,,,,,,,,2,1,0,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-01-13 13:40:00-05:00,38.2739947,-85.6965716,True,False,WEDNESDAY
70803445,LOUISVILLE METRO POLICE DEPT,8010003041,US0042,,BROWNSBORO,RD,,1.744,,JANE,ST   ,,,,,,,2,1,0,0,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,False,2010-01-13 10:00:00-05:00,38.2585512,-85.7035761,False,False,WEDNESDAY
70805078,LOUISVILLE METRO POLICE DEPT,8010003577,,,PETERSON,AVE,S,0.278,,,,,GRINSTEAD,DR   ,,GRINSTEAD,DR   ,2,1,0,0,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2010-01-15 15:50:00-05:00,38.2500121,-85.6972652,False,False,FRIDAY
70811322,LOUISVILLE METRO POLICE DEPT,8010007938,,,GEORGETOWN,PL,,0.051,,CONN,ST   ,,,,,,,2,1,0,0,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-02 06:11:00-05:00,38.1958905,-85.7933803,False,False,TUESDAY
70818943,LOUISVILLE METRO POLICE DEPT,8010011724,KY1020,,SOUTHERN,PKWY,,8.535,,,,,FLORENCE,AVE  ,I 0264,I264 W EXIT10 ON RAMP FROM KY1020,,2,1,0,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-18 17:12:00-05:00,38.1918878,-85.76672,True,False,THURSDAY
70820499,LOUISVILLE METRO POLICE DEPT,8010013310,,,15TH,ST,S,1.928,,MUHAMMAD ALI,BLVD ,,,,,,,2,1,0,1,SNOWING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-02-24 10:00:00-05:00,38.2531405,-85.7756935,True,False,WEDNESDAY
70824160,LOUISVILLE METRO POLICE DEPT,8010015846,US0031E,,BARDSTOWN,RD,,15.058,,LONGEST,AVE  ,,,,,,,2,1,0,0,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-06 09:35:00-05:00,38.2353773,-85.7155001,False,False,SATURDAY
70824750,LOUISVILLE METRO POLICE DEPT,8010016928,US0150,,BROADWAY,,W,2.382,,4TH,ST   ,,,,,,,2,1,0,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-03-08 21:00:00-05:00,38.2461807,-85.7583673,True,False,MONDAY
70825140,LOUISVILLE METRO POLICE DEPT,8010016717,US0031E,,BARDSTOWN,RD,,14.545,,SHERWOOD,AVE  ,,,,,,,2,1,0,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-09 15:50:00-05:00,38.2315605,-85.7078481,True,False,TUESDAY
