,MASTER FILE NUMBER,INVESTIGATING AGENCY,LOCAL CODE,COLLISION STATUS CODE,COUNTY NAME,ROADWAY NUMBER,BLOCK/HOUSE #,ROADWAY NAME,ROADWAY SUFFIX,ROADWAY DIRECTION CODE,GPS LATITUDE DECIMAL,GPS LONGITUDE DECIMAL,MILEPOINT DERIVED,COLLISION DATE,COLLISION TIME,INTERSECTION ROADWAY #,INTERSECTION ROADWAY NAME,INTERSECTION ROADWAY SFX,BETWEEN STREET ROADWAY # 1,BETWEEN STREET ROADWAY NAME 1,BETWEEN STREET ROADWAY SFX 1,BETWEEN STREET ROADWAY # 2,BETWEEN STREET ROADWAY NAME 2,BETWEEN STREET ROADWAY SFX 2,UNITS INVOLVED,MOTOR VEHICLES INVOLVED,KILLED,INJURED,WEATHER CODE,WEATHER,ROADWAY CONDITION CODE,ROADWAY CONDITION,HIT & RUN INDICATOR,ROADWAY TYPE CODE,ROADWAY TYPE,DIRECTIONAL ANALYSIS CODE,DIRECTIONAL ANALYSIS,MANNER OF COLLISION CODE,MANNER OF COLLISION,ROADWAY CHARACTER CODE,ROADWAY CHARACTER,LIGHT CONDITION CODE,LIGHT CONDITION,RAMP FROM ROADWAY ID,RAMP TO ROADWAY ID,SECONDARY COLLISION INDICATOR,hour,minute,Date,Latitude,Longitude,geometry,index_right
306,1344607,LOUISVILLE METRO POLICE DEPT,8010012297,AC,56,US0031  ,,BARDSTOWN,RD   ,,38.23185,-85.707933333,,2/20/2010,1620,,DEERPARK,,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,4.0,STRAIGHT & GRADE,2.0,DAYLIGHT,,,,16,20,2010-02-20 16:20:00,38.23185,-85.707933333,POINT (-85.707933333 38.23185),0
1506,70803559,LOUISVILLE METRO POLICE DEPT,8010002922,AC,56,,,ZORN,AVE  ,,38.2739947,-85.6965716,1.476,1/13/2010,1340,I 0071  ,I71 N EXIT2 OFF RAMP TO ZORN AVE,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,13,40,2010-01-13 13:40:00,38.2739947,-85.6965716,POINT (-85.6965716 38.2739947),0
1541,70803445,LOUISVILLE METRO POLICE DEPT,8010003041,AC,56,US0042  ,,BROWNSBORO,RD   ,,38.2585512,-85.7035761,1.744,1/13/2010,100008,,JANE,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,4.0,STRAIGHT & GRADE,5.0,DARK-HWY LIGHTED/ON,,,N,10,00,2010-01-13 10:00:00,38.2585512,-85.7035761,POINT (-85.70357610000001 38.2585512),0
1690,70805078,LOUISVILLE METRO POLICE DEPT,8010003577,AC,56,,,PETERSON,AVE  ,S ,38.2500121,-85.6972652,0.278,1/15/2010,1550,,,,,GRINSTEAD,DR   ,,GRINSTEAD,DR   ,2,1,0,0,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,4.0,STRAIGHT & GRADE,2.0,DAYLIGHT,,,N,15,50,2010-01-15 15:50:00,38.2500121,-85.6972652,POINT (-85.6972652 38.2500121),0
2876,70811322,LOUISVILLE METRO POLICE DEPT,8010007938,AC,56,,,GEORGETOWN,PL   ,,38.1958905,-85.7933803,0.051,2/2/2010,0611,,CONN,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,06,11,2010-02-02 06:11:00,38.1958905,-85.7933803,POINT (-85.7933803 38.1958905),0
4013,70818943,LOUISVILLE METRO POLICE DEPT,8010011724,AC,56,KY1020  ,,SOUTHERN,PKWY ,,38.1918878,-85.76672,8.535,2/18/2010,1712,,,,,FLORENCE,AVE  ,I 0264,I264 W EXIT10 ON RAMP FROM KY1020,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,12,2010-02-18 17:12:00,38.1918878,-85.76672,POINT (-85.76672000000001 38.1918878),0
4345,70820499,LOUISVILLE METRO POLICE DEPT,8010013310,AC,56,,,15TH,ST   ,S ,38.2531405,-85.7756935,1.928,2/24/2010,100009,,MUHAMMAD ALI,BLVD ,,,,,,,2,1,0,1,9.0,SNOWING,5.0,WET,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,10,00,2010-02-24 10:00:00,38.2531405,-85.7756935,POINT (-85.7756935 38.2531405),0
4964,70824160,LOUISVILLE METRO POLICE DEPT,8010015846,AC,56,US0031E ,,BARDSTOWN,RD   ,,38.2353773,-85.7155001,15.058,3/6/2010,0935,,LONGEST,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,09,35,2010-03-06 09:35:00,38.2353773,-85.7155001,POINT (-85.7155001 38.2353773),0
5141,70824750,LOUISVILLE METRO POLICE DEPT,8010016928,AC,56,US0150  ,,BROADWAY,,W ,38.2461807,-85.7583673,2.382,3/8/2010,2100,,4TH,ST   ,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,21,00,2010-03-08 21:00:00,38.2461807,-85.7583673,POINT (-85.7583673 38.2461807),0
5207,70825140,LOUISVILLE METRO POLICE DEPT,8010016717,AC,56,US0031E ,,BARDSTOWN,RD   ,,38.2315605,-85.7078481,14.545,3/9/2010,1550,,SHERWOOD,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,50,2010-03-09 15:50:00,38.2315605,-85.7078481,POINT (-85.70784810000001 38.2315605),0
5294,70826088,LOUISVILLE METRO POLICE DEPT,8010017019,AC,56,,,PARK BOUNDARY,RD   ,,38.2361411,-85.6889871,0.0,3/10/2010,1710,,BARRET HILL,RD   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,1.0,CURVE & GRADE,2.0,DAYLIGHT,,,N,17,10,2010-03-10 17:10:00,38.2361411,-85.6889871,POINT (-85.68898710000001 38.2361411),0
