investigating_agency,roadway_number,building_number,roadway_direction,roadway_name,roadway_suffix,roadway_type,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,latitude,longitude,milepoint,day_of_week,date,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision,fatality_indicator,injury_indicator
LOUISVILLE METRO POLICE DEPT,,,,BARRET,AVE,METRO,,WINTER,,,,,38.2357083,-85.7276376,1.012,WEDNESDAY,2016-02-03 08:55:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1851,,,HUTCHERSON,DR,STATE,,,,,,,38.0913224,-85.7011182,0.119,FRIDAY,2016-04-15 23:28:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,True,False
SHIVELY POLICE DEPARTMENT,US0031W,,,DIXIE,HWY,STATE,,,,STALLINGS,,KLAGES,38.1751109,-85.8222824,13.921,WEDNESDAY,2016-08-03 00:57:00-04:00,3,2,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,ANGLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),False,False,True
LOUISVILLE METRO POLICE DEPT,KY1020,,,NATIONAL,TPKE,STATE,,,,GERBER,,NEW VENTURE,38.1516974,-85.7643535,5.589,MONDAY,2016-08-22 16:15:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,W,HILL,ST,METRO,KY1020,3RD,,,,,38.2258155,-85.7603258,0.186,SUNDAY,2016-09-11 15:25:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031W,16600,,DIXIE,HWY,STATE,,,,,,,38.0144727,-85.9251568,1.319,MONDAY,2016-10-03 22:04:00-04:00,2,1,CLOUDY,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,,,,CAPTAIN,,GLENMARY FARM,38.1266292,-85.5753851,3.803,SUNDAY,2016-11-06 15:30:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,True,False
LOUISVILLE METRO POLICE DEPT,US0031W,,,DIXIE,HWY,STATE,,,,HAROLD,,HARDESTY,38.2175738,-85.7953002,17.234,WEDNESDAY,2016-11-09 05:23:00-05:00,2,1,CLOUDY,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,ROY WILKINS,AVE,METRO,,JEFFERSON,,,,,38.2547235,-85.7652871,0.199,THURSDAY,2016-12-01 16:21:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,BROWNS,LN,METRO,,LYNNBROOK,,,,,38.2306444,-85.6249941,1.952,SATURDAY,2016-12-03 06:55:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1934,,,GREENBELT,HWY,STATE,,,,DISTRIBUTION,,INTERMODAL,38.1542255,-85.8854641,4.965,FRIDAY,2017-02-03 19:59:00-05:00,2,1,CLOUDY,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1142,1020,,PALATKA,RD,STATE,,,,,,,38.1521087,-85.7858086,0.917,SUNDAY,2017-03-19 22:38:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,False,True,False
LOUISVILLE METRO POLICE DEPT,KY0155,,,TAYLORSVILLE,RD,STATE,,,I 0264,I264 E EXIT17A OFF RAMP TO KY155,,FURMAN,38.221237,-85.648508,14.561,THURSDAY,2017-03-23 08:08:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,,,,LONGEST,,BEECHWOOD,38.2354495,-85.7155869,15.065,FRIDAY,2017-03-31 14:46:00-04:00,2,1,CLOUDY,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,E,BURNETT,AVE,METRO,,HANCOCK,,,,,38.225721,-85.7468884,0.544,TUESDAY,2017-04-04 19:08:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1931,,,7TH STREET,RD,STATE,,,,,,,38.219866,-85.7776617,10.468,MONDAY,2017-05-08 13:01:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
UNIV. OF LOUISVILLE POLICE,KY1020,2200,S,3RD,ST,STATE,,,,,,,38.21643106,-85.76177115,10.043,MONDAY,2017-06-19 07:42:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0061,,S,JACKSON,ST,STATE,,SAINT CATHERINE,,,,,38.2353261,-85.7472948,11.616,THURSDAY,2017-06-29 22:17:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,,,,WATTERSON,,WATTERSON,38.1789809,-85.6227626,8.43,THURSDAY,2017-07-13 01:50:00-04:00,2,1,CLOUDY,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,,,,HIKES,LN,METRO,,EL PATIO,,,,,38.2166879,-85.6311141,2.86,FRIDAY,2017-07-28 21:05:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
SHIVELY POLICE DEPARTMENT,,,,FARNSLEY,RD,SHIVELY,,RIEDLEY,,,,,38.20314472,-85.82806166,1.428,THURSDAY,2017-08-03 18:35:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,True,False
LOUISVILLE METRO POLICE DEPT,US0060A,,,LEXINGTON,RD,STATE,,STILZ,,,,,38.2486564,-85.6805963,9.226,SATURDAY,2017-10-14 03:56:00-04:00,1,0,CLEAR,DRY,False,,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,WILSON,AVE,METRO,,HEMLOCK,,,,,38.2301964,-85.8038105,1.679,WEDNESDAY,2017-11-22 17:01:00-05:00,2,1,CLEAR,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,JEANINE,DR,METRO,,WOODED,,,,,38.1636178,-85.6880079,0.413,THURSDAY,2017-12-14 17:09:00-05:00,2,1,CLOUDY,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,False,True
LOUISVILLE METRO POLICE DEPT,,,S,FLOYD,ST,METRO,,ORMSBY,,,,,38.2314878,-85.7521548,1.684,MONDAY,2018-01-08 16:16:00-05:00,2,1,CLOUDY,WET,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0907,,,VALLEY STATION,RD,STATE,,,,,,,38.1056003,-85.8543875,0.714,FRIDAY,2018-03-02 17:16:00-05:00,2,1,CLEAR,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,,BASHFORD MANOR,,,,,38.2029986,-85.6644104,11.346,THURSDAY,2018-04-05 21:09:00-04:00,2,1,CLEAR,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1065,,,OUTER,LOOP,STATE,KY0061,PRESTON,,,,,38.138463,-85.6868521,6.046,SUNDAY,2018-04-29 20:50:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,False,True
