investigating_agency,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run_indicator,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision_indicator,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
LOUISVILLE METRO POLICE DEPT,US0042,,BROWNSBORO,RD,,1.744,,JANE,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,False,2010-01-13 10:00:00-05:00,38.2585512,-85.7035761,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,ZORN,AVE,,1.476,I 0071,I71 N EXIT2 OFF RAMP TO ZORN AVE,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-01-13 13:40:00-05:00,38.2739947,-85.6965716,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,PETERSON,AVE,S,0.278,,,,GRINSTEAD,,GRINSTEAD,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2010-01-15 15:50:00-05:00,38.2500121,-85.6972652,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,GEORGETOWN,PL,,0.051,,CONN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-02 06:11:00-05:00,38.1958905,-85.7933803,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,PEE WEE REESE,RD,,2.116,,,,WILLIS,KY2048,CANNONS,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-05 18:20:00-05:00,38.2461358,-85.6646854,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,SOUTHERN,PKWY,,8.535,,,,FLORENCE,I 0264,I264 W EXIT10 ON RAMP FROM KY1020,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-18 17:12:00-05:00,38.1918878,-85.76672,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,US0031,,BARDSTOWN,RD,,,,DEERPARK,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & GRADE,DAYLIGHT,False,2010-02-20 16:20:00-05:00,38.23185,-85.707933333,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,15TH,ST,S,1.928,,MUHAMMAD ALI,,,,,2,1,SNOWING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-02-24 10:00:00-05:00,38.2531405,-85.7756935,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,15.058,,LONGEST,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-06 09:35:00-05:00,38.2353773,-85.7155001,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0150,,BROADWAY,,W,2.382,,4TH,,,,,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-03-08 21:00:00-05:00,38.2461807,-85.7583673,True,False,MONDAY
