longitude,latitude,OBJECTID,main_street,cross_street,route_number,milepoint,owner,type
-85.4993371456453,38.2706320923916,1,OLD HENRY,I 265 RAMP,KY-3084,1.25,KYTC,1
-85.4984789574179,38.2415894728279,2,SHELBYVILLE,BECKLEY WOODS,US 60,12.291,KYTC,1
-85.4935498603372,38.2405172324361,3,SHELBYVILLE,LAKE FOREST,US-60,12.58,KYTC,1
-85.5702122827241,38.3110020720272,4,BROWNSBORO,I 265 RAMP,KY-22,3.7,KYTC,1
-85.6279652674758,38.2839160242102,5,HERR,LIME KILN,KY-22,0.44,KYTC,1
-85.632499478084,38.2838889828842,6,U S HIGHWAY 42,HOLIDAY MANOR,US-42,6.13,KYTC,1
-85.6038126973631,38.2586739353754,7,LYNDON,NEW LA GRANGE,KY-146,0.98,KYTC,1
-85.6300103645926,38.2508229915511,8,BRAMTON,SHELBYVILLE,US-60,4.95,KYTC,1
-85.6281977328899,38.2506927303934,9,STONEHENGE,SHELBYVILLE,US-60,5.05,KYTC,1
-85.6362346896495,38.2513489029286,10,FAIRMEADE,SHELBYVILLE,US-60,4.61,KYTC,1
-85.6684598740601,38.2228824001095,11,BON AIR,PEE WEE REESE,KY-155,15.652,KYTC,1
-85.6187078465652,38.2229192941313,12,BROWNS,LOWE,,,METRO,1
-85.6279772783086,38.2199841167013,13,TAYLORSVILLE,YORKSHIRE,KY-155,13.442,KYTC,1
-85.6257853534856,38.2198410700859,14,BROWNS,HIKES,KY-155,13.314,KYTC,1
-85.672352830643,38.2126110023436,15,BARDSTOWN,GARDINER,US-31E,12.133,KYTC,1
-85.6021268254048,38.2954261781982,16,BROWNSBORO,BARBOUR,KY-22,1.71,KYTC,1
-85.5745836336179,38.2629596737917,17,ORMSBY STATION,HURSTBOURNE,KY-1747,14.76,KYTC,1
-85.6347289958909,38.281357006173,18,BROWNSBORO,NORTHFIELD,US-42,5.92,KYTC,1
-85.5388990604605,38.2169272396906,19,BLUEGRASS,BLANKENBAKER,KY-913,2.26,KYTC,1
-85.5974552560227,38.2181939846279,20,BLOWING TREE,TAYLORSVILLE,KY-155,11.79,KYTC,1
-85.5396137968783,38.2252064732745,21,BLANKENBAKER,I 64 RAMP,KY-913,2.85,KYTC,1
-85.6553934067078,38.2529051290944,22,BRECKENRIDGE,CHENOWETH,US-60,3.54,KYTC,1
-85.5926897069294,38.1985097078514,23,SIX MILE,STONY BROOK,,,METRO,1
-85.603079975087,38.1985766287947,24,SIX MILE,HURSTBOURNE,KY-1747,9.58,KYTC,1
-85.6340909945321,38.2242058420151,25,DEEBET,HILLBROOK,KY-1932,3.21,KYTC,1
-85.5754815884516,38.2286444424675,26,TIMBERWOOD,LINN STATION,,,JEFFERSONTOWN,1
-85.5776806133692,38.2269582112614,27,HURSTBOURNE,BLAIRWOOD,KY-1747,12.16,KYTC,1
-85.5781061553905,38.2253307277049,28,BLAIRWOOD ACCESS,HURSTBOURNE,KY-146,7.847,KYTC,1
-85.5760352213046,38.3038480288341,29,SPRINGHURST,SPRINGBROOKE,KY-1747,18.27,KYTC,1
-85.5753866887699,38.3069568751965,30,BROWNSBORO,SUMMIT PLAZA,KY-22,3.47,KYTC,1
-85.5614042823562,38.3155608849372,31,BALLARDSVILLE,NEW CHAMBERLAIN,KY-22,4.42,KYTC,1
-85.6675781118941,38.2013493133522,32,ADELE,BASHFORD MANOR,,,METRO,1
-85.6702936778536,38.1999547388388,33,BASHFORD MANOR,MAYO,,,METRO,1
-85.6597992278277,38.1562320099155,34,FERN VALLEY,SHEPHERDSVILLE,KY-2052,1.21,KYTC,1
-85.5711200603714,38.182862316433,35,BILLTOWN,MICHAELE,KY-1819,8.36,KYTC,1
-85.5493802222876,38.1505166001256,36,BILLTOWN,GELLHAUS,KY-1819,5.53,KYTC,1
-85.6051131617135,38.1689650832479,37,BARDSTOWN,HURSTBOURNE,US-31E,7.25,KYTC,1
-85.5849691245223,38.1452010351556,38,BARDSTOWN,BROOKRIDGE VILLAGE,US-31E,5.18,KYTC,1
-85.5858674320906,38.1470594895695,39,BARDSTOWN,CEDARLOOK,US-31E,5.33,KYTC,1
-85.5634571224705,38.1955623197198,40,OLD TAYLORSVILLE,SHELBY,,,JEFFERSONTOWN,1
-85.7529046036859,38.2143941378131,41,UNIVERSITY,I 65 RAMP,I-65,0.241,KYTC,1
-85.6992171859861,38.2773437750726,42,ZORN,RIVER,,,METRO,1
-85.7799503199803,38.2578034140667,43,18TH,MARKET,US 31W,20.554,KYTC,1
-85.7766340692924,38.2574336471018,44,MARKET,16TH,US 31W,20.735,KYTC,1
-85.7249427082433,38.2573199285237,45,ADAMS,STORY,US-42,0.455,KYTC,1
-85.7942644941208,38.2552059385663,46,26TH,MUHAMMAD ALI,,,METRO,1
-85.7657056357764,38.2428136772813,47,BRECKINRIDGE,8TH,,,METRO,1
-85.7640537517823,38.2426490390335,48,BRECKINRIDGE,7TH,,,METRO,1
-85.7563255268881,38.2385738040112,49,KENTUCKY,2ND,KY-1020,11.595,KYTC,1
-85.8071834109446,38.2373681935814,50,DUMESNIL,32ND,,,METRO,1
-85.7867792757615,38.2374134825534,51,DIXIE,OAK,,,METRO,1
-85.8005338851046,38.2367760887052,52,DUMESNIL,28TH,,,METRO,1
-85.7783665997293,38.2366507187665,53,15TH,OAK,,,METRO,1
-85.7512679079657,38.2364761672482,54,FLOYD,ST CATHERINE,,,METRO,1
-85.7399645017136,38.2332137323448,55,LOGAN,OAK,KY-864,14.615,KYTC,1
-85.7573872197556,38.2325578935826,56,ORMSBY,2ND,KY-1020,11.172,KYTC,1
-85.761357133168,38.2291565034938,57,4TH,MAGNOLIA,,,METRO,1
-85.7904851422796,38.2283030908344,58,DIXIE,HILL,,,METRO,1
