X,Y,IncidentID,AgencyName,RdwyNumber,Street,StreetDir,RoadwayName,StreetSfx,OWNER,ROAD_CLASSIFICATION,COUNCIL_DISTRICT,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,DAY_OF_WEEK,CollisionDate,CollisionTime,HOUR_OF_DAY,UnitsInvolved,MotorVehiclesInvolved,MODE,NAME,AGE,GENDER,SEVERITY,LINK,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,IsSecondaryCollision,ObjectId
-85.866176,38.1085306,17498513,LOUISVILLE METRO POLICE DEPT,US0031W,,,DIXIE,HWY,STATE,MAJOR ARTERIAL,0,,,,ALANADALE,KY0907,VALLEY STATION,38.1085306,-85.866176,8.702,FRIDAY,2016/01/01 07:50:00+00,250,2AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,24,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,CURVE & GRADE,DAYLIGHT,,,FALSE,1
-85.7649082,38.191179,17493656,LOUISVILLE METRO POLICE DEPT,,,S,3RD,ST,METRO,MINOR ARTERIAL,0,KY2801,FLORENCE,,,,,38.191179,-85.7649082,0.65,FRIDAY,2016/01/01 20:14:00+00,1514,3PM,2,1,PEDESTRIAN,UNKNOWN OR NOT AVAILABLE,35,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,TRUE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE,2
-85.5994409,38.2641984,17493944,LOUISVILLE METRO POLICE DEPT,,,,LA GRANGE,RD,METRO,PRIMARY COLLECTOR,0,,ORMSBY,,,,,38.2641984,-85.5994409,0.432,FRIDAY,2016/01/01 23:14:00+00,1814,6PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,59,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,HEAD ON,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE,3
-85.8226009,38.2170823,17493960,LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,,,,,38.2170823,-85.8226009,4.411,SATURDAY,2016/01/02 15:55:00+00,1055,10AM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,32,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,4
-85.8226009,38.2170823,17493960,LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,,,,,38.2170823,-85.8226009,4.411,SATURDAY,2016/01/02 15:55:00+00,1055,10AM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,6,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,5
-85.7895355,38.1870243,17516655,LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,,,,,38.1870243,-85.7895355,8.865,SUNDAY,2016/01/03 13:56:00+00,856,8AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,27,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DAYLIGHT,,,FALSE,6
-85.7172203,38.1561153,17496891,LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,I 0065,I65 N EXIT128 TRANSIT,I 0065,I65 N EXIT128 ON RAMP FROM KY1631,38.1561153,-85.7172203,128.167,WEDNESDAY,2016/01/06 12:50:00+00,750,7AM,2,1,PEDESTRIAN,UNKNOWN OR NOT AVAILABLE,46,MALE,FATALITY,,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE,7
-85.7172203,38.1561153,17496891,LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,I 0065,I65 N EXIT128 TRANSIT,I 0065,I65 N EXIT128 ON RAMP FROM KY1631,38.1561153,-85.7172203,128.167,WEDNESDAY,2016/01/06 12:50:00+00,750,7AM,3,3,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,33,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,8
-85.8728268,38.097479,17497927,LOUISVILLE METRO POLICE DEPT,US0031W,10500,,DIXIE,HWY,STATE,MAJOR ARTERIAL,0,,,,,,,38.097479,-85.8728268,7.858,WEDNESDAY,2016/01/07 00:09:00+00,1909,7PM,3,3,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,35,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,9
-85.7061135,38.1966238,17534209,LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,I 0264,I264 W EXIT14 OFF RAMP TO KY864,I 0264,I264 W EXIT14 ON RAMP FROM KY864,38.1966238,-85.7061135,13.484,THURSDAY,2016/01/07 23:00:00+00,1800,6PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,30,MALE,SUSPECTED SERIOUS INJURY,,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & GRADE,DARK (UNKNOWN ROADWAY LIGHTING),,,FALSE,10
